age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salaryOver50K
39, State-gov,77506, Bachelors,3, Never-married, Adm-clerical, Not-in-family, White, Male,2074,0,40, United-States,0
50, Self-emp-not-inc,83300, Bachelors,3, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,3, United-States,0
38, Private,205646, HS-grad,9, Divorced, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States,0
53, Private,234720, 00th,7, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,0,0,40, United-States,0
28, Private,338409, Bachelors,3, Married-civ-spouse, Prof-specialty, Wife, Black, Female,0,0,40, Cuba,0
37, Private,284582, Masters,4, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, United-States,0
49, Private,60087, 9th,5, Married-spouse-absent, Other-service, Not-in-family, Black, Female,0,0,6, Jamaica,0
52, Self-emp-not-inc,209642, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States,1
30, Private,45780, Masters,4, Never-married, Prof-specialty, Not-in-family, White, Female,4084,0,50, United-States,1
42, Private,59449, Bachelors,3, Married-civ-spouse, Exec-managerial, Husband, White, Male,5078,0,40, United-States,1
37, Private,280464, Some-college,0, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,80, United-States,1
30, State-gov,40297, Bachelors,3, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, India,1
23, Private,22272, Bachelors,3, Never-married, Adm-clerical, Own-child, White, Female,0,0,30, United-States,0
32, Private,205009, Assoc-acdm,2, Never-married, Sales, Not-in-family, Black, Male,0,0,50, United-States,0
40, Private,20772, Assoc-voc,0, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, ?,1
34, Private,245487, 7th-8th,4, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,0,0,45, Mexico,0
25, Self-emp-not-inc,76756, HS-grad,9, Never-married, Farming-fishing, Own-child, White, Male,0,0,35, United-States,0
32, Private,86824, HS-grad,9, Never-married, Machine-op-inspct, Unmarried, White, Male,0,0,40, United-States,0
38, Private,28887, 00th,7, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States,0
43, Self-emp-not-inc,292075, Masters,4, Divorced, Exec-managerial, Unmarried, White, Female,0,0,45, United-States,1
40, Private,93524, Doctorate,6, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States,1
54, Private,302046, HS-grad,9, Separated, Other-service, Unmarried, Black, Female,0,0,20, United-States,0
35, Federal-gov,76845, 9th,5, Married-civ-spouse, Farming-fishing, Husband, Black, Male,0,0,40, United-States,0
43, Private,7037, 00th,7, Married-civ-spouse, Transport-moving, Husband, White, Male,0,2042,40, United-States,0
59, Private,9005, HS-grad,9, Divorced, Tech-support, Unmarried, White, Female,0,0,40, United-States,0
56, Local-gov,206850, Bachelors,3, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States,1
9, Private,68294, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States,0
54, ?,80200, Some-college,0, Married-civ-spouse, ?, Husband, Asian-Pac-Islander, Male,0,0,60, South,1
39, Private,367260, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,80, United-States,0
49, Private,93366, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,0
23, Local-gov,90709, Assoc-acdm,2, Never-married, Protective-serv, Not-in-family, White, Male,0,0,52, United-States,0
20, Private,266005, Some-college,0, Never-married, Sales, Own-child, Black, Male,0,0,44, United-States,0
45, Private,386940, Bachelors,3, Divorced, Exec-managerial, Own-child, White, Male,0,408,40, United-States,0
30, Federal-gov,59950, Some-college,0, Married-civ-spouse, Adm-clerical, Own-child, White, Male,0,0,40, United-States,0
22, State-gov,300502, Some-college,0, Married-civ-spouse, Other-service, Husband, Black, Male,0,0,5, United-States,0
48, Private,242406, 00th,7, Never-married, Machine-op-inspct, Unmarried, White, Male,0,0,40, Puerto-Rico,0
20, Private,97200, Some-college,0, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States,0
9, Private,544090, HS-grad,9, Married-AF-spouse, Adm-clerical, Wife, White, Female,0,0,25, United-States,0
30, Private,84054, Some-college,0, Married-civ-spouse, Sales, Husband, White, Male,0,0,38, ?,1
48, Self-emp-not-inc,265477, Assoc-acdm,2, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,0
30, Private,507875, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,43, United-States,0
53, Self-emp-not-inc,88506, Bachelors,3, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,0
24, Private,72987, Bachelors,3, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,50, United-States,0
49, Private,94638, HS-grad,9, Separated, Adm-clerical, Unmarried, White, Female,0,0,40, United-States,0
25, Private,289980, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,35, United-States,0
57, Federal-gov,337895, Bachelors,3, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, United-States,1
53, Private,44360, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,38, United-States,0
44, Private,28354, Masters,4, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, United-States,0
40, State-gov,603, Assoc-voc,0, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,0
29, Private,270466, Assoc-voc,0, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,43, United-States,0
25, Private,32275, Some-college,0, Married-civ-spouse, Exec-managerial, Wife, Other, Female,0,0,40, United-States,0
8, Private,226956, HS-grad,9, Never-married, Other-service, Own-child, White, Female,0,0,30, ?,0
47, Private,50835, Prof-school,5, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,902,60, Honduras,1
50, Federal-gov,250585, Bachelors,3, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,55, United-States,1
47, Self-emp-inc,9832, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,60, United-States,0
43, Private,237993, Some-college,0, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States,1
46, Private,206666, 5th-6th,3, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Mexico,0
35, Private,56352, Assoc-voc,0, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Puerto-Rico,0
40, Private,47372, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,48, United-States,0
30, Private,88046, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,5003,0,40, United-States,0
30, Private,59496, Bachelors,3, Married-civ-spouse, Sales, Husband, White, Male,2407,0,40, United-States,0
32, ?,293936, 7th-8th,4, Married-spouse-absent, ?, Not-in-family, White, Male,0,0,40, ?,0
48, Private,49640, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States,0
42, Private,6632, Doctorate,6, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States,1
29, Private,5598, Some-college,0, Divorced, Tech-support, Not-in-family, White, Male,0,0,58, United-States,0
36, Private,55537, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,0
28, Private,83075, Some-college,0, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States,0
53, Private,69846, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States,1
49, Self-emp-inc,90680, Some-college,0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States,1
25, ?,200680, Some-college,0, Never-married, ?, Own-child, White, Male,0,0,40, United-States,0
9, Private,509, Some-college,0, Never-married, Prof-specialty, Own-child, White, Male,0,0,32, United-States,0
30, Private,309974, Bachelors,3, Separated, Sales, Own-child, Black, Female,0,0,40, United-States,0
29, Self-emp-not-inc,62298, Bachelors,3, Married-civ-spouse, Sales, Husband, White, Male,0,0,70, United-States,1
23, Private,200678, Some-college,0, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States,0
79, Private,24744, Some-college,0, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,0,0,20, United-States,0
27, Private,203920, HS-grad,9, Never-married, Other-service, Own-child, White, Male,0,0,40, Mexico,0
40, Private,32204, Assoc-acdm,2, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States,0
67, ?,202759, 00th,6, Married-civ-spouse, ?, Husband, White, Male,0,0,2, United-States,0
8, Private,309634, 00th,7, Never-married, Other-service, Own-child, White, Female,0,0,22, United-States,0
30, Local-gov,25927, 7th-8th,4, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States,0
8, Private,446839, HS-grad,9, Never-married, Sales, Not-in-family, White, Male,0,0,30, United-States,0
52, Private,276505, Bachelors,3, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Cuba,0
46, Private,50608, HS-grad,9, Married-civ-spouse, Other-service, Wife, White, Female,0,0,40, United-States,0
59, Private,59937, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,48, United-States,0
44, Private,343590, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Female,4344,0,40, United-States,1
53, Private,346253, HS-grad,9, Divorced, Sales, Own-child, White, Female,0,0,35, United-States,0
49, Local-gov,268234, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States,1
33, Private,202050, Masters,4, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States,0
30, Private,54334, 9th,5, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States,0
43, Federal-gov,400867, Doctorate,6, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States,1
57, Private,249977, Assoc-voc,0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,0
37, Private,286730, Some-college,0, Divorced, Craft-repair, Unmarried, White, Female,0,0,40, United-States,0
28, Private,202563, Some-college,0, Divorced, Machine-op-inspct, Unmarried, Black, Female,0,0,25, United-States,0
30, Private,7747, HS-grad,9, Married-civ-spouse, Sales, Wife, Asian-Pac-Islander, Female,0,573,35, ?,0
34, Local-gov,226296, Bachelors,3, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States,1
29, Local-gov,5585, Some-college,0, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,50, United-States,0
48, Self-emp-not-inc,90277, Doctorate,6, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,902,60, United-States,1
37, Private,202683, Some-college,0, Married-civ-spouse, Sales, Husband, White, Male,0,0,48, United-States,1
48, Private,70095, Assoc-acdm,2, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, England,0
32, Federal-gov,249409, HS-grad,9, Never-married, Other-service, Own-child, Black, Male,0,0,40, United-States,0
76, Private,24090, Masters,4, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States,1
44, Private,98282, Bachelors,3, Married-civ-spouse, Exec-managerial, Husband, White, Male,5024,0,60, United-States,1
47, Self-emp-not-inc,49006, Masters,4, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States,0
20, Private,88300, Some-college,0, Never-married, Tech-support, Own-child, White, Female,0,0,40, United-States,0
29, Private,3432, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States,0
32, Self-emp-inc,307660, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,7688,0,40, United-States,1
7, ?,304873, 00th,6, Never-married, ?, Own-child, White, Female,34095,0,32, United-States,0
30, Private,94900, 00th,7, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States,0
30, Local-gov,89265, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States,0
42, Private,24692, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States,0
24, Private,432376, Bachelors,3, Never-married, Sales, Other-relative, White, Male,0,0,40, United-States,0
38, Private,65324, Prof-school,5, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,1
56, Self-emp-not-inc,335605, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,0,887,50, Canada,1
28, Private,377869, Some-college,0, Married-civ-spouse, Sales, Wife, White, Female,4064,0,25, United-States,0
36, Private,2864, HS-grad,9, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,40, United-States,0
53, Private,95647, 9th,5, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,50, United-States,0
56, Self-emp-inc,303090, Some-college,0, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States,0
49, Local-gov,97370, Assoc-voc,0, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States,1
55, Private,247552, Some-college,0, Married-civ-spouse, Sales, Husband, White, Male,0,0,56, United-States,0
22, Private,2632, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States,0
20, Private,99905, Some-college,0, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States,0
40, Private,8853, Bachelors,3, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States,0
30, Private,77043, Bachelors,3, Never-married, Exec-managerial, Own-child, Black, Male,0,0,40, Germany,0
29, State-gov,267989, Bachelors,3, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States,1
9, Private,300606, Some-college,0, Never-married, Other-service, Own-child, Black, Male,0,0,35, United-States,0
47, Private,287828, Bachelors,3, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, United-States,1
20, Private,697, Some-college,0, Never-married, Adm-clerical, Own-child, White, Female,0,709,28, United-States,0
30, Private,4937, Assoc-acdm,2, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States,1
35, ?,29305, HS-grad,9, Married-civ-spouse, ?, Husband, White, Male,0,0,40, United-States,0
39, Private,365739, Some-college,0, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States,0
28, Private,69620, Assoc-acdm,2, Never-married, Sales, Not-in-family, White, Female,0,0,60, United-States,0
24, Private,43323, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,0,762,40, United-States,0
38, Self-emp-not-inc,20985, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,4386,0,35, United-States,0
37, Private,254202, Bachelors,3, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States,0
46, Private,46095, Assoc-acdm,2, Divorced, Tech-support, Not-in-family, Black, Female,0,0,36, United-States,0
38, Federal-gov,25933, Masters,4, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Iran,1
43, Self-emp-not-inc,56920, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States,0
27, Private,63027, Assoc-voc,0, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,35, United-States,0
20, Private,34300, Some-college,0, Never-married, Sales, Own-child, White, Male,0,0,20, United-States,0
49, Private,80973, Some-college,0, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States,1
60, Self-emp-inc,66604, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,0
27, Private,232782, Some-college,0, Never-married, Sales, Own-child, White, Female,0,0,40, United-States,0
9, Private,306868, Some-college,0, Never-married, Other-service, Own-child, White, Male,0,0,30, Mexico,0
45, Private,96584, Assoc-voc,0, Never-married, Prof-specialty, Not-in-family, White, Female,0,564,40, United-States,1
70, Private,5376, Some-college,0, Never-married, Tech-support, Other-relative, White, Male,0,0,40, United-States,0
30, Private,85804, HS-grad,9, Never-married, Transport-moving, Unmarried, Black, Female,0,0,30, United-States,0
22, Private,75374, Some-college,0, Married-civ-spouse, Other-service, Husband, White, Male,0,0,24, United-States,0
36, Private,8293, HS-grad,9, Widowed, Other-service, Unmarried, White, Female,0,0,24, United-States,0
64, Private,80232, 00th,7, Married-civ-spouse, Craft-repair, Husband, White, Male,0,2079,40, United-States,0
